name,dataset_method,utility,auc,f1,batch_size,dropout,final_activation,loss,lr,optimizer,units,f2,kernel_size,stride,u1,u2
Default_LGSTM_BestUtil_199,neg1,0.1969740932642487,0.9815395610592621,0.4535330261136713,8,0.4,elu,mse,0.001,adamw,,,,,128.0,64.0
Default_LGSTM_BestAUC_134,mean,0.17698445595854906,0.9896723729182773,0.4929009640666082,8,0.4,sigmoid,binary_crossentropy,0.001,adamw,,,,,128.0,32.0
Default_LGSTM_BestAUC_14,mean,0.16657512953367853,0.9890917637386379,0.5040185747454903,8,0.2,sigmoid,binary_crossentropy,0.0005,adamw,,,,,128.0,32.0
Default_LGSTM_BestAUC_134,neg1,0.1602487046632123,0.9896782278001908,0.4941871921182266,8,0.4,sigmoid,binary_crossentropy,0.001,adamw,,,,,128.0,32.0
Default_LGSTM_BestAUC_14,median,0.15593782383419671,0.9904738967514102,0.5505101020204041,8,0.2,sigmoid,binary_crossentropy,0.0005,adamw,,,,,128.0,32.0
Default_LGSTM_BestAUC_134,median,0.14856994818652838,0.9895368598016738,0.4588150289017341,8,0.4,sigmoid,binary_crossentropy,0.001,adamw,,,,,128.0,32.0
Default_LGSTM_BestUtil_138,mean,0.1485077720207252,0.9874423310206574,0.5188267934998019,8,0.4,sigmoid,binary_crossentropy,0.0005,adam,,,,,128.0,32.0
Default_LGSTM_BestAUC_14,neg1,0.14793782383419674,0.9886279651367003,0.4782082324455206,8,0.2,sigmoid,binary_crossentropy,0.0005,adamw,,,,,128.0,32.0
Default_LGSTM_BestUtil_199,linear,0.14745077720207245,0.9596563325336138,0.458808618504436,8,0.4,elu,mse,0.001,adamw,,,,,128.0,64.0
Default_LGSTM_BestUtil_138,linear,0.1456373056994817,0.9896792267438217,0.4858490566037736,8,0.4,sigmoid,binary_crossentropy,0.0005,adam,,,,,128.0,32.0
Default_LGSTM_BestUtil_199,mean,0.128481865284974,0.9684581588960111,0.48310337932413516,8,0.4,elu,mse,0.001,adamw,,,,,128.0,64.0
Default_LGSTM_BestUtil_138,neg1,0.12831088082901546,0.9901568144324705,0.4512144915603129,8,0.4,sigmoid,binary_crossentropy,0.0005,adam,,,,,128.0,32.0
Default_LGSTM_BestUtil_199,median,0.1243056994818652,0.9747445439099396,0.4751666308320791,8,0.4,elu,mse,0.001,adamw,,,,,128.0,64.0
Default_LGSTM_BestUtil_138,median,0.1210673575129532,0.9908316899254376,0.4879807692307692,8,0.4,sigmoid,binary_crossentropy,0.0005,adam,,,,,128.0,32.0
Default_LGSTM_BestAUC_14,linear,0.12078756476683929,0.9900083094499648,0.46976303317535545,8,0.2,sigmoid,binary_crossentropy,0.0005,adamw,,,,,128.0,32.0
Default_CNN_BestAUC_400,median,0.1043575129533677,0.9771210007787554,64.0,32,0.2,sigmoid,binary_crossentropy,0.001,adam,,128.0,5.0,1.0,,
Default_LGSTM_BestAUC_134,linear,0.09636787564766829,0.991542333640204,0.4297635605006954,8,0.4,sigmoid,binary_crossentropy,0.001,adamw,,,,,128.0,32.0
Default_CNN_BestUtil_308,mean,0.09517616580310874,0.8784757683347367,64.0,32,0.2,leakyrelu,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_CNN_BestUtil_308,linear,0.0940725388601036,0.818426290541325,64.0,32,0.2,leakyrelu,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_CNN_BestAUC_400,mean,0.09293782383419667,0.9876482472684517,64.0,32,0.2,sigmoid,binary_crossentropy,0.001,adam,,128.0,5.0,1.0,,
Default_CNN_BestUtil_308,median,0.08182383419689117,0.8330097427247178,64.0,32,0.2,leakyrelu,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_RNN_BestUtil_145,median,0.07693264248704657,0.7743885644768739,0.428079834824501,64,0.2,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_CNN_BestAUC_400,linear,0.07661139896373045,0.9686825405014577,64.0,32,0.2,sigmoid,binary_crossentropy,0.001,adam,,128.0,5.0,1.0,,
Default_RNN_BestUtil_209,linear,0.07464248704663212,0.7667953599797187,0.4076904116342125,64,0.4,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_CNN_BestAUC_400,neg1,0.07369430051813461,0.9706693620197198,64.0,32,0.2,sigmoid,binary_crossentropy,0.001,adam,,128.0,5.0,1.0,,
Default_RNN_BestUtil_145,mean,0.07246632124352327,0.8042243876601853,0.4099497727816312,64,0.2,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_CNN_BestUtil_176,median,0.05956994818652852,0.8787110336414189,32.0,32,0.2,leakyrelu,mse,0.001,adam,,128.0,5.0,1.0,,
Default_CNN_BestUtil_176,linear,0.05953886010362691,0.8593694860396235,32.0,32,0.2,leakyrelu,mse,0.001,adam,,128.0,5.0,1.0,,
Default_CNN_BestUtil_308,neg1,0.05719170984455956,0.8107821409369333,64.0,32,0.2,leakyrelu,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_RNN_BestUtil_145,neg1,0.0507979274611399,0.7598745258122063,0.34558286687758577,64,0.2,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_RNN_BestUtil_145,linear,0.04942487046632126,0.7594262754760744,0.3489758879958517,64,0.2,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_CNN_BestUtil_176,mean,0.04778756476683935,0.8562700530490203,32.0,32,0.2,leakyrelu,mse,0.001,adam,,128.0,5.0,1.0,,
Default_RNN_BestAUC_3,linear,0.046051813471502605,0.9922226827945786,0.30886351277868407,32,0.2,sigmoid,binary_crossentropy,0.001,adamw,128.0,,,,,
Default_CNN_BestUtil_176,neg1,0.043419689119171,0.8087217876326739,32.0,32,0.2,leakyrelu,mse,0.001,adam,,128.0,5.0,1.0,,
Default_RNN_BestAUC_3,median,0.03499999999999999,0.9900365526809672,0.33341869398207424,32,0.2,sigmoid,binary_crossentropy,0.001,adamw,128.0,,,,,
Default_RNN_BestAUC_1,neg1,0.024689119170984472,0.9895801574253658,0.2304954831645223,32,0.2,sigmoid,binary_crossentropy,0.001,adam,128.0,,,,,
Default_RNN_BestAUC_1,mean,0.022238341968911904,0.9911280736844464,0.2781049935979513,32,0.2,sigmoid,binary_crossentropy,0.001,adam,128.0,,,,,
Default_RNN_BestAUC_3,neg1,0.018663212435233157,0.9899127116642157,0.1774193548387097,32,0.2,sigmoid,binary_crossentropy,0.001,adamw,128.0,,,,,
Default_RNN_BestUtil_209,neg1,0.016238341968911933,0.7722154279257405,0.11093401338858783,64,0.4,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_RNN_BestAUC_1,linear,0.006502590673575127,0.9876612886743573,0.04774714189643578,32,0.2,sigmoid,binary_crossentropy,0.001,adam,128.0,,,,,
Default_RNN_BestUtil_209,mean,0.0022279792746113997,0.6968105639187486,0.05129935875801552,64,0.4,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_RNN_BestUtil_209,median,0.0,0.7601214976592219,0.0,64,0.4,leakyrelu,mse,0.001,adam,128.0,,,,,
Default_RNN_BestAUC_1,median,-6.21761658031088e-05,0.9885898648022735,0.0013961605584642235,32,0.2,sigmoid,binary_crossentropy,0.001,adam,128.0,,,,,
Default_RNN_BestAUC_3,mean,-0.001616580310880829,0.9877470658330546,0.04031496062992126,32,0.2,sigmoid,binary_crossentropy,0.001,adamw,128.0,,,,,
Default_CNN_BestAUC_1140,mean,-0.06743005181347167,0.9642107471120488,32.0,64,0.2,tanh,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_CNN_BestAUC_1140,neg1,-15.002284974093909,0.9709719157147052,32.0,64,0.2,tanh,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_CNN_BestAUC_1140,median,-15.006507772021395,0.9667396874328249,32.0,64,0.2,tanh,mse,0.0005,adam,,64.0,5.0,1.0,,
Default_CNN_BestAUC_1140,linear,-15.00708808290219,0.9540594753169579,32.0,64,0.2,tanh,mse,0.0005,adam,,64.0,5.0,1.0,,
