model,epoch,threshold,auc,f1,utility
Default_LGSTM_BestUtil_199,75,0.001,0.9745486152322225,0.013061666716826677,-5.72969430051813
Default_LGSTM_BestUtil_199,75,0.005,0.9745486152322225,0.1069214983105657,0.00013471502590670854
Default_LGSTM_BestUtil_199,75,0.01,0.9745486152322225,0.1662108781525372,0.2021968911917103
Default_LGSTM_BestUtil_199,75,0.1,0.9745486152322225,0.404644412191582,0.2657668393782382
Default_LGSTM_BestUtil_199,75,0.25,0.9745486152322225,0.4291695743196092,0.22441450777202052
Default_LGSTM_BestUtil_199,75,0.33,0.9745486152322225,0.43572744014732967,0.20997409326424868
Default_LGSTM_BestAUC_134,75,0.001,0.9905140998214627,0.2320585842148088,0.3384352331606338
Default_LGSTM_BestAUC_134,75,0.005,0.9905140998214627,0.3014650354931279,0.3396476683937893
Default_LGSTM_BestAUC_134,75,0.01,0.9905140998214627,0.3453327378293881,0.3387875647668433
Default_LGSTM_BestAUC_134,75,0.1,0.9905140998214627,0.4487369985141159,0.26058031088082934
Default_LGSTM_BestAUC_134,75,0.25,0.9905140998214627,0.4823712948517941,0.21365803108808298
Default_LGSTM_BestAUC_134,75,0.33,0.9905140998214627,0.49172809172809173,0.19106735751295326
Default_LGSTM_BestAUC_14,75,0.001,0.9906290850536266,0.25952626158599384,0.2973626943005293
Default_LGSTM_BestAUC_14,75,0.005,0.9906290850536266,0.3428363238910648,0.2875803108808374
Default_LGSTM_BestAUC_14,75,0.01,0.9906290850536266,0.4138636363636364,0.28580829015544434
Default_LGSTM_BestAUC_14,75,0.1,0.9906290850536266,0.5278203164880041,0.20953367875647674
Default_LGSTM_BestAUC_14,75,0.25,0.9906290850536266,0.5269303201506591,0.1733523316062175
Default_LGSTM_BestAUC_14,75,0.33,0.9906290850536266,0.5259677105621474,0.16232124352331584
